x,y,targets
RNA1{r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.r(A)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(U)p.r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,46.2,BD135193
RNA1{r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,38.4,BD135193
RNA1{r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,51.4,BD135193
RNA1{r(A)p.r(U)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(A)p.r(U)p.d(C)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,36.4,BD135193
RNA1{r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(U)p.r(C)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(G)p.r(A)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,52.2,BD135193
RNA1{r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(U)p.r(C)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(G)p.r(A)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,44.2,BD135193
RNA1{r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.d(G)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,44.1,BD135193
RNA1{r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(U)p.r(U)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(A)p.r(A)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,43.6,BD135193
RNA1{r(A)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(U)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,59.1,BD135193
RNA1{r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(A)p.r(C)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(G)p.r(U)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,51.1,BD135193
RNA1{r(C)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(G)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,55.5,BD135193
RNA1{r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.d(C)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,54.7,BD135193
RNA1{r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.d(G)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,44,BD135193
RNA1{r(C)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.r(G)p.r(U)p.r(A)p.r(U)p.r(G)p.r(C)p.r(U)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(A)p.r(G)p.r(C)p.r(A)p.r(U)p.r(A)p.r(C)p.r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(G)p.d(C)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,65.1,BD135193
RNA1{r(U)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(A)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(C)p.r(C)p.r(U)p.r(U)p.r(A)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(U)p.r(A)p.r(A)p.r(G)p.r(G)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(U)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(A)p.d(A)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,75.9,BD135193
RNA1{r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.r(A)p.r(G)p.r(U)p.r(A)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(U)p.r(A)p.r(C)p.r(U)p.r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,62.4,BD135193
RNA1{r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.d(C)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,85.8,BD135193
RNA1{r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,84.9,BD135193
RNA1{r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,38.3,BD135193
RNA1{r(C)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(G)p.d(A)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,53.7,BD135193
RNA1{r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,83.2,BD135193
RNA1{r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.d(A)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,68.4,BD135193
RNA1{r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(U)p.r(C)p.r(U)p.r(U)p.r(U)p.r(C)p.d(T)p.d(T)}|RNA2{r(G)p.r(A)p.r(A)p.r(A)p.r(G)p.r(A)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.d(T)p.d(C)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,73.6,BD135193
RNA1{r(U)p.r(C)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(U)p.r(U)p.d(T)p.d(T)}|RNA2{r(A)p.r(A)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(G)p.r(A)p.d(T)p.d(T)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,83,BD135193
RNA1{r(U)p.r(G)p.r(A)p.r(A)p.r(U)p.r(C)p.r(G)p.r(G)p.r(A)p.r(C)p.r(A)p.r(U)p.r(U)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.d(T)p.d(T)}|RNA2{r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(A)p.r(A)p.r(U)p.r(G)p.r(U)p.r(C)p.r(C)p.r(G)p.r(A)p.r(U)p.r(U)p.r(C)p.r(A)p.d(G)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,38.9,BD135193
RNA1{r(C)p.r(U)p.r(G)p.r(G)p.r(A)p.r(U)p.r(G)p.r(A)p.r(C)p.r(U)p.r(G)p.r(G)p.r(C)p.r(C)p.r(A)p.r(G)p.r(G)p.r(A)p.r(A)p.d(T)p.d(T)}|RNA2{r(U)p.r(U)p.r(C)p.r(C)p.r(U)p.r(G)p.r(G)p.r(C)p.r(C)p.r(A)p.r(G)p.r(U)p.r(C)p.r(A)p.r(U)p.r(C)p.r(C)p.r(A)p.r(G)p.d(T)p.d(A)}$$$RNA1{StrandType:ss}|RNA2{StrandType:as}$,75.7,BD135193
